SymphonyCodePK,BPM,Rolloff,Flux,RMS,Flatness,Spectral_Complexity,Pitch,Loudness
SYM5183,139.94,704.0826,1.1003,0.2823,0.9515,29.5388,2538.6026,31.3384
SYM5184,105.94,449.1184,1.0507,0.2924,0.9779,20.2367,2720.1536,32.615
SYM5185,89.98,1734.188,1.3275,0.3024,0.7656,31.6975,1732.1212,34.3331
SYM5186,124.1,2379.9704,1.2452,0.2409,0.7941,33.9641,1958.308,26.1223
SYM5187,86.9,1205.2187,1.0257,0.2124,0.9638,26.0521,1912.5252,21.4117
SYM5188,120.17,1764.3048,1.2295,0.2277,0.8878,27.2001,1655.8344,23.7726
SYM5189,105.45,1180.4954,1.2227,0.2428,0.8647,24.756,1880.1379,27.1626
SYM5190,125.32,890.2868,1.204,0.3349,0.8458,27.7308,2251.0928,40.2571
SYM5191,88.01,1092.3153,1.1236,0.2782,0.9255,35.8523,2417.6169,31.2134
SYM5192,99.99,1241.9518,1.2492,0.2454,0.9248,24.4436,2365.0437,26.0426
SYM5193,144.61,1600.5102,1.2137,0.2347,0.8467,29.4528,2207.2914,25.3274
SYM5194,147.72,2345.8797,1.3372,0.2334,0.8044,27.3575,1862.9072,24.5475
SYM5195,150.04,768.7155,1.2085,0.3367,0.9107,31.5404,2890.6913,39.9798
SYM5196,144.9,948.1099,1.2701,0.2625,0.9254,21.3225,2146.8682,28.9757
SYM5197,129.73,1199.2959,0.9833,0.223,0.9016,26.4663,1730.7821,23.6783
SYM5198,89.87,1121.9934,1.172,0.2179,0.9477,23.1819,2185.2506,22.8831
SYM5199,89.93,1574.3853,1.2275,0.2789,0.9249,32.3797,2181.7683,31.0285
SYM5200,142.28,696.8472,1.1513,0.1625,0.9738,18.0883,2575.2294,14.9305
SYM5201,86.94,2070.4609,1.2373,0.2249,0.8921,27.73,2252.7941,23.93
SYM5202,147.87,993.1506,0.9797,0.2063,0.9656,23.4216,1616.0842,20.6583
SYM5203,103.73,1100.3708,0.9257,0.2712,0.9225,41.2586,1955.9118,29.85
SYM5204,84.97,1787.2976,1.1517,0.2784,0.8843,42.1168,1853.7664,31.2072
SYM5205,90.03,1320.1191,1.3991,0.3191,0.8701,31.7549,2463.4055,38.2851
SYM5206,99.99,798.6645,1.042,0.2569,0.9568,22.5615,1902.4131,28.0223
SYM5207,91.83,943.0757,1.0326,0.2487,0.9173,29.3403,1708.4078,27.2942
SYM5208,87.06,922.4289,1.4765,0.3048,0.9393,24.4085,2300.3425,35.1578
SYM5209,79.98,1403.1413,1.2499,0.2572,0.8852,26.661,2298.9741,28.602
SYM5210,161.75,1399.1624,1.1133,0.2205,0.9362,28.01,1798.4744,22.7211
SYM5211,93.91,1655.5137,1.2322,0.2539,0.946,32.4754,1963.8445,27.1458
SYM5212,129.93,1931.611,1.297,0.2344,0.9092,25.7679,1702.3274,25.0562
SYM5213,106.1,1102.8428,1.2061,0.2353,0.9421,28.6397,1854.1048,24.727
SYM5214,90.23,962.7728,1.0291,0.2066,0.9237,27.9385,2028.9409,21.4
SYM5215,119.99,1788.7324,1.1024,0.2572,0.8602,34.5707,1999.2992,28.6735
SYM5216,112.99,1649.8542,1.4279,0.315,0.7932,26.44,2819.7217,38.9282
SYM5217,91.99,1085.5395,1.1427,0.2658,0.9304,33.5399,2257.3242,29.4117
SYM5218,80.97,1643.9571,1.2122,0.2596,0.9377,27.3861,2320.3893,27.776
SYM5219,172.27,1351.8821,0.9592,0.1914,0.9048,26.2669,1673.3072,19.121
SYM5220,81.01,1235.39,1.2852,0.2258,0.8579,18.1552,2849.4688,24.5852
SYM5221,136.58,1200.0824,0.9845,0.263,0.9,34.845,2006.4726,28.7579
SYM5222,131.04,993.196,0.9203,0.2348,0.894,30.6473,2372.8351,25.8359
SYM5223,142.91,1458.2822,1.1562,0.2011,0.9405,17.4291,2065.8345,20.3271
SYM5224,87.04,1726.3669,1.2295,0.2032,0.8248,30.0429,1531.5742,21.1498
SYM5225,124.96,1477.3538,1.3483,0.2734,0.8776,26.895,2404.7538,31.0445
SYM5226,164.2,1235.7663,0.7752,0.1833,0.8397,22.068,849.885,18.1084
SYM5227,146.18,1731.6294,1.2121,0.1743,0.8572,25.0635,1802.4558,17.4041
SYM5228,153.88,2294.1562,1.2991,0.1968,0.8673,23.1788,2310.2262,20.4203
SYM5229,122.06,931.3518,1.2513,0.3444,0.9235,31.0153,2003.7536,40.6814
SYM5230,96.84,1677.1749,1.1712,0.1667,0.8348,22.9083,1564.8425,16.3008
SYM5231,80.01,1642.7667,1.049,0.256,0.8963,36.1931,1621.9961,28.103
SYM5232,143.0,2810.6645,1.2743,0.2699,0.6358,36.2122,1960.8837,30.431
SYM5233,129.84,1523.3025,1.4303,0.3059,0.9268,32.0014,2509.6982,34.6984
SYM5234,97.93,1028.1767,1.3181,0.2793,0.9087,23.5817,2314.0929,32.0995
SYM5235,82.03,845.6393,1.0351,0.091,0.8561,11.4504,2164.0973,7.2704
SYM5236,87.0,2646.4181,1.4065,0.19,0.8528,26.3391,1766.3058,18.9762
SYM5237,90.91,1169.3583,1.0327,0.2438,0.912,32.9081,1956.1709,26.5029
SYM5238,88.03,1791.9939,1.364,0.2395,0.8816,29.0287,2409.6078,26.4161
SYM5239,131.22,704.7622,1.1534,0.3542,0.8756,35.4061,2874.2756,42.6549
SYM5240,148.94,903.412,1.2282,0.2871,0.8907,29.8803,2299.5114,32.8202
SYM5241,109.77,1577.868,1.0908,0.1988,0.8625,31.3602,1658.408,21.3065
SYM5242,88.97,1789.0679,1.1007,0.216,0.9279,37.7712,1790.1477,22.5021
SYM5243,144.29,1027.8382,1.3145,0.3311,0.9039,33.6885,2378.8293,39.5818
SYM5244,132.16,1406.6271,0.9366,0.218,0.91,29.8812,1532.7792,22.9837
SYM5245,93.83,1835.7482,1.3652,0.2628,0.898,34.7055,1948.8675,28.7787
SYM5246,84.91,929.4729,1.0501,0.2484,0.933,30.7941,2425.8611,28.0334
SYM5247,87.81,1354.332,1.3525,0.3,0.853,28.5541,2702.4699,35.6438
SYM5248,142.28,696.8472,1.1513,0.1625,0.9738,18.0883,2575.2294,14.9305
SYM5249,87.98,1419.7188,1.3654,0.2703,0.9068,30.6459,2339.1667,30.0305
SYM5250,96.82,2054.1558,1.3096,0.2632,0.8338,36.3756,1756.5142,28.36
SYM5251,85.73,1576.5578,1.2787,0.2701,0.9226,34.0753,2248.5307,29.5644
SYM5252,83.33,1560.3047,1.25,0.2121,0.9288,24.756,3028.0899,22.0794
SYM5253,91.94,1218.264,1.2327,0.2426,0.8801,29.4386,2170.2356,26.078
SYM5254,93.89,1818.9262,1.2831,0.1594,0.8473,22.5186,1879.595,15.3663
SYM5255,99.74,1226.2359,1.1851,0.1934,0.9234,21.4627,2068.6752,20.2124
SYM5256,99.87,2626.1773,1.397,0.235,0.8511,28.1582,2374.9114,25.4545
SYM5257,122.96,1779.5178,1.2509,0.2252,0.8464,29.8765,1750.7266,23.8913
SYM5258,109.96,2073.1591,1.2732,0.2395,0.7872,26.4721,2127.7331,25.9463
SYM5259,90.03,1138.5283,1.0707,0.1203,0.779,16.4535,1701.9427,11.2957
SYM5260,120.88,1727.6708,1.2121,0.2569,0.8353,28.8409,2059.0042,28.6876
SYM5261,85.99,1655.5877,1.2652,0.2674,0.7605,29.469,1693.6438,29.7592
SYM5262,120.02,2240.6941,1.1281,0.2622,0.8857,46.0552,1908.4045,28.6839
SYM5263,93.98,1791.7874,1.4183,0.3259,0.763,30.8023,2800.0029,39.0775
SYM5264,91.99,1336.0437,1.2981,0.2354,0.8484,24.1,2378.5328,25.392
SYM5265,87.99,2314.8457,1.2488,0.2428,0.8207,29.4576,1954.0595,26.0359
SYM5266,126.93,1062.8193,1.2248,0.2669,0.903,28.5443,2181.4524,30.166
SYM5267,98.95,1917.2716,1.3034,0.2587,0.8764,39.0083,2288.4156,28.5346
SYM5268,99.8,1469.8926,1.1583,0.2025,0.8614,23.889,1959.9713,21.0931
SYM5269,123.47,2383.5206,1.3834,0.2565,0.791,34.3438,2439.7871,28.7863
SYM5270,126.99,2052.6846,1.2323,0.2405,0.7975,29.6612,2126.9926,26.7136
SYM5271,93.96,2201.7143,1.317,0.1958,0.8454,27.7247,1789.4228,19.7578
SYM5272,161.66,1438.0864,1.1731,0.2586,0.8745,34.9403,2477.552,28.0121
SYM5273,123.54,2833.2514,1.2176,0.295,0.6709,28.8244,1585.1275,33.6064
SYM5274,92.49,1988.4394,1.2374,0.2387,0.8183,39.5851,2005.9916,25.4961
SYM5275,99.88,915.7216,1.195,0.1228,0.948,18.4225,2152.8154,10.473
SYM5276,139.89,2563.3694,1.161,0.2304,0.7498,37.3284,1746.9178,24.3028
SYM5277,172.27,1845.9351,1.2484,0.1966,0.9035,31.5779,2262.0945,20.1022
SYM5278,156.12,1678.1226,1.2084,0.2771,0.8524,41.0609,2444.1226,30.805
SYM5279,139.83,1647.5054,1.2132,0.1848,0.8928,29.8388,2124.8526,17.9385
SYM5280,99.08,2582.0292,1.3855,0.2679,0.8006,31.2019,2189.0905,29.7901
SYM5281,89.88,1424.8873,1.1857,0.2011,0.8951,28.6334,1613.1719,20.3406
SYM5282,74.08,2312.5633,1.3848,0.2744,0.7934,33.3932,2088.9339,30.0813
SYM5283,122.07,2623.6891,1.2521,0.2166,0.7494,36.9104,1804.8748,22.3621
SYM5284,92.99,1445.5398,1.4609,0.2973,0.8164,29.1509,1925.0106,33.728
SYM5285,134.02,1304.8992,1.2279,0.2573,0.8087,29.5528,2189.925,28.5613
SYM5286,122.52,1482.2976,1.2886,0.1913,0.928,18.9947,2491.6014,19.211
SYM5287,127.01,1356.802,1.221,0.2353,0.9117,27.2819,2082.5964,24.6523
SYM5288,87.78,756.1489,1.2199,0.3454,0.8856,24.6072,2600.4738,41.6835
SYM5289,103.88,1165.99,1.2993,0.2557,0.8886,28.6808,2470.6989,28.0258
SYM5290,139.14,2900.7652,1.3193,0.3087,0.7649,43.8299,1969.1539,35.1253
SYM5291,119.9,1769.5908,1.3034,0.2476,0.8615,38.3376,2424.2273,26.4263
SYM5292,91.98,1688.4906,1.2061,0.2375,0.8552,23.6519,2130.1121,26.7712
SYM5293,86.02,1229.369,1.0646,0.2514,0.8891,24.4724,1778.0831,27.9218
SYM5294,147.87,2064.3771,1.1,0.2339,0.9095,42.3481,2057.5369,24.3555
SYM5295,99.86,2466.6324,1.3001,0.2402,0.7143,35.7602,2210.5207,26.1688
SYM5296,90.01,2466.1206,1.2556,0.246,0.7773,31.6341,2032.8977,27.852
SYM5297,122.01,2051.7455,1.3149,0.2826,0.7979,30.3224,2627.833,32.8482
SYM5298,108.03,2247.3973,1.2625,0.2467,0.7911,35.8807,1800.6498,26.7593
SYM5299,102.02,1315.9904,1.4627,0.2655,0.8035,23.909,2974.7482,30.3859
SYM5300,121.99,1195.9989,1.2558,0.2581,0.8425,25.6149,2473.9339,28.7924
SYM5301,107.9,1499.6431,1.1129,0.1911,0.928,26.9833,2353.0722,19.4453
SYM5302,156.17,1235.4047,1.1648,0.2627,0.9131,37.2447,1443.3113,28.1057
SYM5303,147.0,1764.1606,1.3423,0.25,0.85,33.8031,2070.9186,27.1366
SYM5304,95.44,2288.3416,1.0917,0.2856,0.8783,33.9222,1905.416,32.3299
SYM5305,88.97,1585.3199,1.1108,0.2164,0.8835,34.0263,1775.2306,22.4685
SYM5306,117.03,1720.6502,1.3181,0.2466,0.7712,28.4754,2081.1065,27.3728
SYM5307,91.74,1973.141,1.4232,0.1649,0.8749,16.8791,2424.2279,16.2141
SYM5308,120.02,2200.607,1.3059,0.2192,0.8237,34.192,2383.5819,23.0372
SYM5309,150.14,2831.614,1.0422,0.237,0.8298,40.2439,1850.9354,25.2451
SYM5310,162.64,1631.0679,1.3142,0.3266,0.784,35.189,2214.7544,38.1854
