FeatureCodePK,FeaturedArtistName
722,TR784129,
723,TR216683,
724,TR770137,
725,TR761888,
726,TR458543,
727,TR323076,
728,TR458139,Analfak
729,TR894419,
730,TR743674,
731,TR724440,
732,TR574185,
733,TR800445,
734,TR192834,
735,TR283611,
736,TR169033,Stevie Deville
737,TR544478,
738,TR527101,Bassi Maestro
739,TR202541,
740,TR607983,
741,TR140970,
742,TR437053,
743,TR581473,
744,TR862349,
745,TR145722,
746,TR186918,C. Camacho
747,TR988853,
748,TR869675,
749,TR754884,Guè
750,TR892697,
751,TR490897,
752,TR934807,
753,TR152578,
754,TR823340,
755,TR517220,
756,TR210904,
757,TR900732,
758,TR255803,
759,TR565835,
760,TR987844,
761,TR406031,Jah Lingua
762,TR928768,
763,TR505184,
764,TR109319,
765,TR603906,
766,TR151906,
767,TR339271,
768,TR775710,
769,TR910692,
770,TR404432,
771,TR502373,
772,TR221159,
773,TR712954,
774,TR306781,
775,TR798663,
776,TR913667,
777,TR465783,
778,TR964558,
779,TR531963,
780,TR638115,
781,TR195257,
782,TR780163,
783,TR837894,
784,TR216088,
785,TR557502,
786,TR614284,
787,TR931831,
788,TR919537,
789,TR981253,
790,TR982574,
791,TR350319,
792,TR507534,
793,TR670351,Ensi
794,TR491076,Kane Juice
795,TR225731,
796,TR657289,
797,TR434419,
798,TR991855,Burro Banton
799,TR268955,
800,TR713835,
801,TR838933,
802,TR341732,
803,TR678706,
804,TR785394,
805,TR359803,
806,TR155230,
807,TR651585,
808,TR403582,
809,TR590926,Silent Bob
810,TR379064,
811,TR856566,Simba La Rue
812,TR293961,
813,TR700146,
814,TR561890,Paky
815,TR676953,
816,TR578471,Astro (ITA)
817,TR893244,
818,TR741788,Diss Gacha
819,TR128408,22simba
820,TR131806,
821,TR420668,
822,TR932992,
823,TR917526,
824,TR506331,
825,TR887754,
826,TR214987,
827,TR816603,
828,TR970389,
829,TR786644,
830,TR275513,
831,TR778705,
832,TR474045,
833,TR818948,
834,TR688855,
835,TR273041,
836,TR688209,Capo Plaza
837,TR667334,
838,TR985794,Artie 5ive
839,TR317207,Sfera Ebbasta
840,TR446826,Paky
841,TR228275,Marracash
842,TR697556,Marracash
843,TR391415,Lazza
844,TR391415,Salmo
845,TR112894,Rose Villain
846,TR112894,Luchè
847,TR550101,
848,TR365201,
849,TR893852,Lazza
850,TR129622,ANNA
851,TR129622,Sfera Ebbasta
852,TR263196,Geolier
853,TR569651,
854,TR101183,
855,TR732277,Caneda
856,TR302217,Frah Quintale
857,TR407190,
858,TR963985,Luchè
859,TR963985,Marracash
860,TR160501,Marracash
861,TR353058,
862,TR244037,
863,TR376800,
864,TR597910,
865,TR933656,Maruego
866,TR933656,Ateyaba
867,TR816986,
868,TR969020,Sfera Ebbasta
869,TR541784,
870,TR913090,Ntò
871,TR228873,Gemitaiz
872,TR228873,Noyz Narcos
873,TR646941,
874,TR980903,Capo Plaza
875,TR773009,
876,TR777250,Elettra Lamborghini
877,TR777250,Sfera Ebbasta
878,TR423453,Night Skinny
879,TR478239,Ernia
880,TR278846,Geolier
881,TR619144,
882,TR582832,North of Loreto
883,TR898308,Vettosi
884,TR290414,Noyz Narcos
885,TR476300,
886,TR260670,Mahmood
887,TR260670,Marracash
888,TR596933,Luchè
889,TR124504,Il Profeta
890,TR124504,Tony Effe
891,TR522698,Rasty Kilo
892,TR198571,
893,TR130964,
894,TR754903,Lazza
895,TR489583,
896,TR825655,
897,TR402842,Marracash
898,TR903963,
899,TR139128,Rose Villain
900,TR597234,Rick Ross
901,TR328844,Luchè
902,TR140226,
903,TR558297,Franco126
904,TR908583,
905,TR179816,
906,TR340468,
907,TR609224,Salmo
908,TR291948,
909,TR560473,
910,TR220750,Ketama126
911,TR241225,
912,TR563387,
913,TR258835,Rame
914,TR100174,
915,TR930889,Sfera Ebbasta
916,TR930889,DrefGold
917,TR112259,
918,TR263207,Massimo Pericolo
919,TR773042,Rose Villain
920,TR469109,
921,TR562505,El Micha
922,TR363510,​chiello
923,TR659688,Paky
924,TR809387,
925,TR366289,Artie 5ive
926,TR761185,Carl Brave
927,TR850050,
