TextCodePK,N_Sentences,N_Tokens,Char_Per_Tok,Avg_Token_Per_Clause,Is_Explicit
358,80.0,528.0,3.8406113537,8.0,1
359,49.0,546.0,3.7027027027,8.6666666667,1
360,63.0,699.0,4.4935779817,8.5243902439,0
361,60.0,453.0,3.987745098,6.1216216216,0
362,55.0,453.0,3.780141844,6.2916666667,1
363,68.0,378.0,3.9595687332,4.5,0
364,53.0,472.0,4.0762942779,9.44,1
365,67.0,926.0,3.6342780027,8.819047619,0
366,44.0,410.0,4.0376344086,5.6164383562,0
367,63.0,593.0,3.9803063457,10.0508474576,1
368,55.0,499.0,3.9364035088,5.6704545455,0
369,62.0,512.0,3.8358208955,5.7528089888,1
370,54.0,403.0,4.037037037,5.3733333333,0
371,56.0,578.0,3.8893709328,7.4102564103,1
372,49.0,532.0,3.7729257642,6.7341772152,1
373,52.0,477.0,3.965034965,5.1847826087,1
374,61.0,612.0,3.9885496183,7.5555555556,1
375,73.0,692.0,3.9915397631,7.0612244898,1
376,74.0,548.0,4.1031128405,6.9367088608,1
377,52.0,502.0,4.040201005,7.84375,1
378,58.0,452.0,3.6920980926,7.9298245614,1
379,70.0,471.0,3.9016786571,7.2461538462,1
380,45.0,408.0,4.0297297297,6.0895522388,1
381,87.0,660.0,3.7380952381,9.4285714286,1
382,55.0,622.0,3.9818548387,8.2933333333,1
383,80.0,520.0,3.6800804829,5.3608247423,1
384,60.0,540.0,4.0538793103,7.6056338028,0
385,42.0,450.0,3.8614457831,9.7826086957,1
386,66.0,541.0,3.896049896,7.2133333333,1
387,34.0,320.0,4.0176678445,7.1111111111,1
388,59.0,554.0,4.0426540284,8.5230769231,1
389,90.0,491.0,4.0601336303,5.7764705882,1
390,65.0,734.0,3.7890772128,13.5925925926,1
391,52.0,500.0,3.804400978,7.1428571429,0
392,71.0,533.0,3.9051918736,7.6142857143,1
393,53.0,505.0,4.0407239819,6.2345679012,1
394,44.0,370.0,3.9830028329,4.8051948052,1
395,49.0,361.0,3.8956521739,4.9452054795,1
396,63.0,465.0,3.8452380952,6.5492957746,1
397,69.0,752.0,3.9225473322,10.8985507246,1
398,69.0,685.0,3.8774193548,8.7820512821,1
399,50.0,397.0,3.8328767123,4.9012345679,0
400,46.0,381.0,4.0808383234,8.2826086957,1
401,78.0,654.0,3.646484375,8.9589041096,1
402,52.0,562.0,3.9642147117,6.0430107527,1
403,76.0,686.0,3.5839874411,6.2363636364,1
404,49.0,539.0,3.4447368421,9.8,1
405,59.0,444.0,4.1197007481,5.6202531646,1
406,59.0,529.0,3.9913606911,7.3472222222,1
407,60.0,511.0,4.1030701754,5.5543478261,1
408,59.0,646.0,3.6561922366,6.3333333333,1
409,69.0,854.0,3.8752025932,11.0909090909,1
410,63.0,655.0,3.7919708029,6.359223301,1
411,61.0,470.0,4.0397022333,6.5277777778,1
412,94.0,633.0,3.896434635,4.9453125,1
413,55.0,308.0,4.0457746479,5.5,1
414,75.0,747.0,3.9192073171,6.4396551724,1
415,61.0,509.0,3.8584269663,6.8783783784,1
416,47.0,435.0,3.8207070707,6.0416666667,1
417,72.0,726.0,3.5711297071,12.1,1
418,55.0,592.0,4.0984848485,6.3655913978,1
419,39.0,352.0,3.7272727273,6.641509434,1
420,61.0,514.0,3.9497816594,6.1927710843,1
421,32.0,237.0,3.8709677419,5.7804878049,1
422,54.0,617.0,3.8391752577,7.7125,0
423,65.0,523.0,4.1669941061,5.8764044944,1
424,32.0,350.0,3.7606177606,9.2105263158,1
425,41.0,408.0,4.061452514,6.8,0
426,26.0,271.0,4.0840707965,8.7419354839,1
427,49.0,414.0,3.891966759,6.46875,1
428,46.0,404.0,4.0050632911,6.1212121212,1
429,57.0,363.0,4.3955696203,7.4081632653,1
430,51.0,481.0,3.8373205742,6.2467532468,1
431,37.0,392.0,4.1907514451,5.4444444444,0
432,43.0,437.0,3.8181818182,6.0694444444,1
433,61.0,647.0,4.0098425197,9.1126760563,1
434,59.0,453.0,3.8472553699,6.2054794521,1
435,49.0,445.0,4.0884718499,6.7424242424,1
436,15.0,179.0,3.8611111111,6.1724137931,1
437,85.0,975.0,3.9008674102,25.6578947368,1
438,40.0,441.0,4.0916442049,7.35,1
439,58.0,456.0,3.7874396135,6.9090909091,1
440,80.0,487.0,4.1352040816,9.0185185185,1
441,49.0,360.0,3.8927536232,4.9315068493,1
442,32.0,322.0,3.7343173432,8.05,1
443,65.0,663.0,3.7775768535,7.0531914894,1
444,71.0,693.0,3.4401349073,5.3720930233,1
445,52.0,481.0,3.9627906977,5.2857142857,1
446,55.0,492.0,3.9773755656,7.0285714286,1
447,12.0,105.0,3.5,7.0,0
448,68.0,575.0,4.0625,5.8673469388,1
449,40.0,227.0,4.3128205128,8.7307692308,1
450,19.0,179.0,4.0,9.4210526316,1
451,40.0,372.0,3.8603988604,5.7230769231,1
452,50.0,386.0,3.8635097493,4.825,0
453,63.0,434.0,4.1995073892,7.1147540984,1
454,51.0,422.0,3.7843137255,5.8611111111,1
455,76.0,617.0,3.6521008403,6.6344086022,1
456,46.0,378.0,3.9016853933,5.4,1
457,78.0,568.0,3.9612403101,8.231884058,1
458,45.0,471.0,4.0239520958,7.7213114754,1
459,47.0,336.0,4.3098039216,10.8387096774,1
460,63.0,477.0,4.0491400491,6.625,1
461,52.0,474.0,3.8901345291,6.8695652174,1
462,25.0,231.0,4.0639269406,7.0,1
463,70.0,553.0,3.9448669202,6.3563218391,1
464,34.0,297.0,4.1,6.3191489362,1
465,27.0,205.0,3.9838709677,5.3947368421,1
