TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN,Lyrics
503,52.0,562.0,,,,
504,61.0,612.0,,,,
505,67.0,926.0,,,,
506,60.0,647.0,,,,
507,59.0,529.0,,,,
508,44.0,410.0,,,,
509,53.0,420.0,,,,
510,74.0,638.0,,,,
511,49.0,468.0,,,,
512,55.0,499.0,,,,
513,1.0,7.0,,,,
514,116.0,896.0,,,,
515,94.0,1056.0,,,,
516,84.0,695.0,,,,
517,64.0,500.0,,,,
518,73.0,802.0,,,,
519,62.0,602.0,,,,
520,67.0,720.0,,,,
521,70.0,693.0,,,,
522,50.0,467.0,,,,
523,119.0,1068.0,,,,
524,99.0,882.0,,,,
525,82.0,881.0,,,,
526,46.0,578.0,,,,
527,71.0,723.0,,,,
528,66.0,630.0,,,,
529,81.0,862.0,,,,
530,69.0,563.0,,,,
531,68.0,598.0,,,,
532,55.0,510.0,,,,
533,50.0,596.0,,,,
534,62.0,456.0,,,,
535,88.0,618.0,,,,
536,66.0,770.0,,,,
537,66.0,657.0,,,,
538,71.0,641.0,,,,
539,72.0,584.0,,,,
540,55.0,465.0,,,,
541,66.0,669.0,,,,
542,57.0,475.0,,,,
543,65.0,710.0,,,,
544,59.0,530.0,,,,
545,54.0,479.0,,,,
546,71.0,685.0,,,,
547,47.0,469.0,,,,
548,60.0,459.0,,,,
549,69.0,712.0,,,,
550,57.0,545.0,,,,
551,51.0,559.0,,,,
552,76.0,579.0,,,,
553,79.0,803.0,,,,
554,92.0,853.0,,,,
555,40.0,385.0,,,,
556,51.0,371.0,,,,
557,60.0,553.0,,,,
558,74.0,581.0,,,,
559,58.0,619.0,,,,
560,75.0,690.0,,,,
561,113.0,880.0,,,,
562,65.0,552.0,,,,
563,47.0,492.0,,,,
564,73.0,592.0,,,,
565,49.0,438.0,,,,
566,62.0,626.0,,,,
567,60.0,581.0,,,,
568,77.0,749.0,,,,
569,46.0,521.0,,,,
570,61.0,465.0,,,,
571,66.0,517.0,,,,
572,84.0,613.0,,,,
573,59.0,523.0,,,,
574,65.0,578.0,,,,
575,78.0,489.0,,,,
576,48.0,426.0,,,,
577,66.0,672.0,,,,
578,63.0,535.0,,,,
579,106.0,697.0,,,,
580,82.0,459.0,,,,
581,48.0,480.0,,,,
582,52.0,559.0,,,,
583,39.0,365.0,,,,
584,64.0,605.0,,,,
585,64.0,498.0,,,,
586,48.0,512.0,,,,
587,60.0,529.0,,,,
588,56.0,578.0,,,,
589,79.0,684.0,,,,
590,88.0,723.0,,,,
591,56.0,535.0,,,,
592,42.0,397.0,,,,
593,69.0,814.0,,,,
594,38.0,365.0,,,,
595,75.0,574.0,,,,
596,73.0,575.0,,,,
597,58.0,460.0,,,,
598,55.0,481.0,,,,
599,84.0,622.0,,,,
600,81.0,823.0,,,,
601,50.0,477.0,,,,
602,84.0,781.0,,,,
603,58.0,533.0,,,,
604,51.0,434.0,,,,
605,55.0,583.0,,,,
606,107.0,770.0,,,,
607,73.0,576.0,,,,
608,50.0,517.0,,,,
609,36.0,292.0,,,,
610,75.0,786.0,,,,
611,117.0,744.0,,,,
612,78.0,554.0,,,,
613,64.0,594.0,,,,
614,57.0,542.0,,,,
615,27.0,217.0,,,,
616,62.0,563.0,,,,
617,67.0,652.0,,,,
618,76.0,501.0,,,,
619,35.0,341.0,,,,
620,49.0,483.0,,,,
621,63.0,652.0,,,,
622,60.0,555.0,,,,
623,61.0,557.0,,,,
624,71.0,632.0,,,,
625,84.0,735.0,,,,
626,122.0,890.0,,,,
627,60.0,594.0,,,,
628,99.0,422.0,,,,
629,45.0,418.0,,,,
630,79.0,588.0,,,,
631,74.0,830.0,,,,
632,58.0,525.0,,,,
633,68.0,687.0,,,,
634,60.0,533.0,,,,
635,64.0,568.0,,,,
636,61.0,683.0,,,,
637,50.0,470.0,,,,
638,70.0,405.0,,,,
639,60.0,524.0,,,,
640,58.0,557.0,,,,
641,60.0,507.0,,,,
642,1.0,8.0,,,,
643,97.0,879.0,,,,
644,40.0,380.0,,,,
645,40.0,368.0,,,,
646,1.0,4.0,,,,
647,42.0,355.0,,,,
648,47.0,485.0,,,,
649,55.0,549.0,,,,
650,41.0,367.0,,,,
651,43.0,367.0,,,,
652,66.0,516.0,,,,
653,29.0,256.0,,,,
654,34.0,319.0,,,,
655,63.0,614.0,,,,
656,51.0,475.0,,,,
657,65.0,690.0,,,,
658,44.0,389.0,,,,
659,68.0,542.0,,,,
660,42.0,369.0,,,,
661,57.0,323.0,,,,
662,39.0,389.0,,,,
663,36.0,342.0,,,,
664,35.0,313.0,,,,
665,25.0,243.0,,,,
666,43.0,434.0,,,,
667,18.0,170.0,,,,
668,38.0,331.0,,,,
669,79.0,402.0,,,,
670,49.0,454.0,,,,
671,55.0,239.0,,,,
672,24.0,185.0,,,,
673,41.0,231.0,,,,
674,79.0,384.0,,,,
675,39.0,363.0,,,,
676,33.0,310.0,,,,
677,19.0,182.0,,,,
678,38.0,363.0,,,,
679,43.0,348.0,,,,
680,20.0,198.0,,,,
681,28.0,262.0,,,,
682,33.0,231.0,,,,
683,31.0,260.0,,,,
684,223.0,1768.0,,,,
685,16.0,250.0,,,,
686,69.0,533.0,,,,
687,34.0,465.0,,,,
688,79.0,532.0,,,,
689,70.0,611.0,,,,
690,97.0,536.0,,,,
691,18.0,535.0,,,,
692,58.0,317.0,,,,
693,55.0,292.0,,,,
694,55.0,365.0,,,,
695,22.0,242.0,,,,
696,65.0,380.0,,,,
